brand,model,screen_size,color,harddisk,cpu,ram,OS,special_features,graphics,graphics_coprocessor,cpu_speed,rating,Price,Sale Product Count,Total Sales,Available Stock
ROKC,,14 Inches,Blue,1000 GB,Intel Core i7,8 GB,Windows 11,,Integrated,Intel,1.2 GHz,,1783.99,14,24975.86,81.0
HP,,15.6 Inches,Silver,1000 GB,Intel Core i5,64 GB,Windows 11 Pro,Backlit Keyboard,Integrated,Intel,,4.5,449.0,60,26940.0,334.0
MSI,Vector GP66 12UGS-267,15.66 Inches,Core Black,,Intel Core i9,32 GB,Windows 11 Home,,Dedicated,,1.8 GHz,5.0,999.99,24,23999.76,391.0
APPLE,MacBook Air,13.3 Inches,Silver,256 GB,Unknown,8 GB,Mac OS,Backlit Keyboard,Integrated,,,4.8,3423.99,60,205439.4,345.0
APPLE,MacBook Air,15.3 Inches,Midnight,256 GB,Unknown,8 GB,Mac OS,,Integrated,,,4.8,699.0,33,23067.0,110.0
ACER,A315-24P-R7VH,15.6 Inches,Silver,128 GB,Ryzen 3,8 GB,Windows 11 S,Backlit Keyboard,Integrated,,,4.5,1599.0,37,59163.0,383.0
APPLE,MacBook Pro,13.3 Inches,Space Gray,256 GB,Unknown,8 GB,Mac OS,Backlit Keyboard,Integrated,,,4.7,1314.99,59,77584.41,191.0
ACER,CB315-3HT,15.6 Inches,Silver,64 GB,Celeron N4020,4 GB,Chrome OS,Support Stylus,Integrated,,,4.4,799.0,47,37553.0,136.0
ASUS,ROG Strix G16,16 Inches,Eclipse Gray,512 GB,Core i7,16 GB,Windows 11 Home,Backlit Keyboard,Dedicated,,,4.4,899.99,26,23399.74,122.0
ACER,A515-56-347N,15.6 Inches,Silver,128 GB,Core I3 1115G4,8 GB,Windows 11 S,Amazon Alexa,Integrated,,,4.3,1037.99,46,47747.54,245.0
ACER,AN515-58-57Y8,15.6 Inches,Black,512 GB,Core i5,16 GB,Windows 11 Home,Backlit Keyboard,Dedicated,,,4.4,750.74,47,35284.78,176.0
